"key","en","fr","ja","vi","zh"
"core/acl/users::email_exist","That email address already belongs to an existing account","Cette adresse e-mail appartient déjà à un compte existant","そのメールアドレスはすでに既存のアカウントに属しています","Địa chỉ email đó đã thuộc về một tài khoản hiện có","该电子邮件地址已属于现有账户"
"core/acl/users::username_exist","That username address already belongs to an existing account","Ce nom d'utilisateur appartient déjà à un compte existant","そのユーザー名アドレスはすでに既存のアカウントに属しています","Tên đăng nhập đó đã thuộc về một tài khoản hiện có","该用户名地址已属于现有账户"
"core/acl/users::update_profile_success","Your profile changes were successfully saved","Vos modifications de profil ont été enregistrées avec succès","プロフィールの変更は正常に保存されました","Thay đổi hồ sơ của bạn đã được lưu thành công","您的个人资料更改已成功保存"
"core/acl/users::password_update_success","Password successfully changed","Le mot de passe a été modifié avec succès","パスワードが正常に変更されました","Thay đổi mật khẩu thành công","密码已成功更改"
"core/acl/users::current_password_not_valid","Current password is not valid","Le mot de passe actuel n'est pas valide","現在のパスワードは無効です","Mật khẩu hiện tại không hợp lệ","当前密码无效"
"core/acl/users::user_exist_in","User is already a member","L'utilisateur est déjà membre","ユーザーはすでに会員です","Người dùng đã là thành viên","用户已经是会员"
"core/acl/users::email","Email","Email","電子メール","Email","电子邮件"
"core/acl/users::phone","Phone","Phone","Phone","Điện thoại","Phone"
"core/acl/users::phone_placeholder","Phone","Phone","Phone","Điện thoại","Phone"
"core/acl/users::role","Role","Role","役割","Vai trò","角色"
"core/acl/users::username","Username","Nom d'utilisateur","ユーザー名","Tên đăng nhập","用户名"
"core/acl/users::last_name","Last Name","Nom","苗字","Tên","姓"
"core/acl/users::first_name","First Name","Prénom","ファーストネーム","Họ","名字"
"core/acl/users::message","Message","Message","メッセージ","Tin nhắn","消息"
"core/acl/users::cancel_btn","Cancel","Annuler","キャンセル","Hủy bỏ","取消"
"core/acl/users::change_password","Change password","Modifier le mot de passe","パスワードを変更する","Thay đổi mật khẩu","更改密码"
"core/acl/users::current_password","Current Password","Mot de passe actuel","現在のパスワード","Mật khẩu hiện tại","当前密码"
"core/acl/users::new_password","New Password","Nouveau mot de passe","新しいパスワード","Mật khẩu mới","新密码"
"core/acl/users::confirm_new_password","Confirm New Password","Confirmer le nouveau mot de passe","新しいパスワードの確認","Xác nhận mật khẩu mới","确认新密码"
"core/acl/users::password","Password","Mot de passe","パスワード","Mật khẩu","密码"
"core/acl/users::save","Save","Sauvegarder","保存","Lưu","保存"
"core/acl/users::cannot_delete","User could not be deleted","L'utilisateur n'a pas pu être supprimé","ユーザーを削除できませんでした","Không thể xóa người dùng","用户无法被删除"
"core/acl/users::deleted","User deleted","Utilisateur supprimé","ユーザーが削除されました","Đã xóa người dùng","用户已删除"
"core/acl/users::last_login","Last Login","Dernière connexion","最終ログイン","Lần đăng nhập cuối","最后登录"
"core/acl/users::error_update_profile_image","Error when update profile image","Erreur lors de la mise à jour de l'image de profil","プロフィール画像更新時のエラー","Lỗi khi cập nhật ảnh hồ sơ","更新个人资料图片时出错"
"core/acl/users::email_reminder_template","<h3>Hello :name</h3><p>The system has received a request to restore the password for your account, to complete this task please click the link below.</p><p><a href=:link>Reset password now</a></p><p>If not you ask recover password, please ignore this email.</p><p>This email is valid for 60 minutes after receiving the email.</p>","<h3>Bonjour :name</h3><p>Le système a reçu une demande de restauration du mot de passe de votre compte. Pour effectuer cette tâche, veuillez cliquer sur le lien ci-dessous.</p><p><a href=\:link\>Réinitialiser le mot de passe maintenant</a></p><p>Si vous ne demandez pas à récupérer votre mot de passe, veuillez ignorer cet e-mail..</p><p>Cet e-mail est valable pendant 60 minutes à compter de la réception de l'e-mail.</p>","<h3>Hello :name</h3><p>The system has received a request to restore the password for your account, to complete this task please click the link below.</p><p><a href=:link>Reset password now</a></p><p>If not you ask recover password, please ignore this email.</p><p>This email is valid for 60 minutes after receiving the email.</p>","<h3>Xin chào :name</h3><p>Hệ thống đã nhận được yêu cầu khôi phục mật khẩu cho tài khoản của bạn, để hoàn thành tác vụ này vui lòng nhấp vào liên kết bên dưới.</p><p><a href=:link>Khôi phục mật khẩu ngay</a></p><p>Nếu bạn không yêu cầu khôi phục mật khẩu, vui lòng bỏ qua email này.</p><p>Email này có hiệu lực trong 60 phút sau khi nhận email.</p>","<h3>你好 :name</h3><p>系统已收到恢复您账户密码的请求，完成此任务请点击下面的链接。</p><p><a href=:link>立即重置密码</a></p><p>如果您没有请求恢复密码，请忽略此邮件。</p><p>此邮件在收到后有效期为60分钟。</p>"
"core/acl/users::change_profile_image","Change Profile Image","Modifier l'image du profil","プロフィール画像の変更","Thay đổi ảnh hồ sơ","更改个人资料图片"
"core/acl/users::new_image","New Image","Nouvelle image","新しい画像","Ảnh mới","新图像"
"core/acl/users::loading","Loading","Chargement","読み込み中","Đang tải","加载"
"core/acl/users::close","Close","Fermer","近い","Đóng","关闭"
"core/acl/users::update","Update","Mise à jour","アップデート","Cập nhật","更新"
"core/acl/users::read_image_failed","Failed to read the image file","Échec de la lecture du fichier image","画像ファイルの読み込みに失敗しました","Không thể đọc tệp hình ảnh","无法读取图像文件"
"core/acl/users::users","Users","Utilisateurs","ユーザー","Người dùng","用户"
"core/acl/users::users_description","View and update your system users","View and update your system users","システムユーザーの表示と更新","Xem và cập nhật người dùng hệ thống của bạn","查看和更新您的系统用户"
"core/acl/users::update_avatar_success","Update profile image successfully!","Mise à jour de l'image de profil réussie !","プロフィール画像が正常に更新されました。","Cập nhật ảnh hồ sơ thành công!","更新头像成功！"
"core/acl/users::delete_avatar_success","Delete profile image successfully!","Delete profile image successfully!","プロフィール画像が無事に削除されました！","Xóa ảnh hồ sơ thành công!","删除个人资料图片成功！"
